Dbase,Accession Number,Name,Taxon,Species,Sex,Maturity,Date Admitted,Date_Admit,AdmitYr,AdmitMo, Rescue Location,Suburb,Jurisdiction,Cause of Affliction, Categories,Anatomical,Aetiological,Updated Anatomical, Updated Aetiological,Status,Status Date,Status Date2,StatusYr,StatusMo,,,,
EzyVet,149730,Ursula,Reptile - Snake - Marine,Olive-Headed Sea Snake,Unknown Sex,sub adult,2025-03-29,29/3/2025,2025,Mar,Marcoola,MARCOOLA,Sunshine Coast Regional Council,unknown trauma,trauma,cns/neurological,neurological: trauma,,,euthanised,30/03/2025,30/3/2025,2025,Mar,,,,
EzyVet,149701,Kirra,Reptile - Snake - Marine,Olive-Headed Sea Snake,Unknown Sex,juvenile,2025-03-28,28/3/2025,2025,Mar,284 Anzac Ave,KIPPA-RING,Moreton Bay Regional Council,beach stranding,trauma,cns/neurological - musculoskeletal,fracture: spine - spinal disease (excl. fracture) - soft tissue injury,,,euthanised,28/03/2025,28/3/2025,2025,Mar,,,,
EzyVet,149494,Dory,Reptile - Snake - Marine,Olive-Headed Sea Snake,Unknown Sex,juvenile,2025-03-25,25/3/2025,2025,Mar,Woorim,WOORIM,Moreton Bay Regional Council,natural predation,trauma,musculoskeletal,fracture: spine,,,euthanised,26/03/2025,26/3/2025,2025,Mar,,,,
EzyVet,149646,Elle,Reptile - Snake - Marine,Olive-Headed Sea Snake,Unknown Sex,juvenile,2025-03-24,24/3/2025,2025,Mar,Warana,WARANA,Sunshine Coast Regional Council,beach stranding,trauma,musculoskeletal,soft tissue injury,,,released,03/04/2025,3/4/2025,2025,Apr,,,,
EzyVet,149502,Ellie,Reptile - Snake - Marine,Elegant Sea Snake,Unknown Sex,juvenile,2025-03-20,20/3/2025,2025,Mar,Coolum Beach,COOLUM BEACH,Sunshine Coast Regional Council,beach stranding,nad,nad,nad,,,released,22/03/2025,22/3/2025,2025,Mar,,,,
EzyVet,149291,Stu (Stueena),Reptile - Snake - Marine,Yellow-Bellied Sea Snake,Female,adult,2025-03-18,18/3/2025,2025,Mar,Coolum Beach,COOLUM BEACH,Sunshine Coast Regional Council,beach stranding,trauma,musculoskeletal,abscess - gastro-intestinal: trauma,,,in hospital,,,,,,,,
EzyVet,149241,Buddy,Reptile - Snake - Marine,Elegant Sea Snake,Unknown Sex,juvenile,2025-03-13,13/3/2025,2025,Mar,Pacific Boulevard,BUDDINA,Sunshine Coast Regional Council,beach stranding,trauma,musculoskeletal - cns/neurological,fracture: spine - soft tissue injury,,,euthanised,13/03/2025,13/3/2025,2025,Mar,,,,
EzyVet,148707,.,Reptile - Snake - Marine,Elegant Sea Snake,Unknown Sex,adult,2025-02-26,26/2/2025,2025,Feb,Coolum Beach,COOLUM BEACH,Sunshine Coast Regional Council,boat strike,trauma,trauma: multi-organ,multi-organ/system failure,,,euthanised,26/02/2025,26/2/2025,2025,Feb,,,,
EzyVet,148638,Goldy,Reptile - Snake - Marine,Elegant Sea Snake,Unknown Sex,adult,2025-02-23,23/2/2025,2025,Feb,Golden Beach,GOLDEN BEACH,Sunshine Coast Regional Council,overt signs of disease,infection/disease,doa,doa,,,doa,24/02/2025,24/2/2025,2025,Feb,,,,
EzyVet,147965,Ellie,Reptile - Snake - Marine,Olive-Headed Sea Snake,Female,adult,2025-02-05,5/2/2025,2025,Feb,50 Marine Parade,REDCLIFFE,Moreton Bay Regional Council,overt signs of disease,infection/disease,musculoskeletal,bacterial: other,,,euthanised,06/02/2025,6/2/2025,2025,Feb,,,,
EzyVet,147878,Sandy,Reptile - Snake - Marine,Yellow-Bellied Sea Snake,Unknown Sex,adult,2025-02-04,4/2/2025,2025,Feb,151 Oceanic Dr,WARANA,Sunshine Coast Regional Council,beach stranding,nad,nad,nad,,,died in hospital,01/03/2025,1/3/2025,2025,Mar,,,,
EzyVet,146696,Oliver Twist,Reptile - Snake - Marine,Olive-Headed Sea Snake,Female,adult,2025-01-07,7/1/2025,2025,Jan,Bribie Island Road,NINGI,Moreton Bay Regional Council,beach stranding,infection/disease,git,gastro-intestinal: obstruction,,,died in hospital,29/01/2025,29/1/2025,2025,Jan,,,,
